,time,mu_real,mu_imag
494,0.0988,-0.267409345512,-0.00605852575197
495,0.099,-0.267407979004,-0.00606361561789
496,0.0992,-0.267406612107,-0.00606860627351
497,0.0994,-0.267405244681,-0.00607349781146
498,0.0996,-0.267403876779,-0.00607828995282
499,0.0998,-0.267402508378,-0.00608298268489
500,0.1,-0.267401139706,-0.00608757592147
501,0.1002,-0.267399770507,-0.00609206928753
502,0.1004,-0.267398400951,-0.00609646275816
503,0.1006,-0.26739703125,-0.00610075628593
504,0.1008,-0.26739566108,-0.00610494941772
505,0.101,-0.267394290674,-0.00610904208472
506,0.1012,-0.267392920193,-0.00611303431046
507,0.1014,-0.267391549448,-0.00611692599945
508,0.1016,-0.267390178545,-0.00612071689815
509,0.1018,-0.267388807547,-0.00612440684799
510,0.102,-0.267387436522,-0.00612799566232
511,0.1022,-0.267386065236,-0.00613148334382
512,0.1024,-0.267384693909,-0.00613486990889
513,0.1026,-0.267383322582,-0.00613815485873
514,0.1028,-0.267381951163,-0.00614133843024
515,0.103,-0.267380579733,-0.0061444203458
516,0.1032,-0.267379208393,-0.00614740044659
517,0.1034,-0.267377837118,-0.00615027870936
518,0.1036,-0.267376465967,-0.00615305526841
519,0.1038,-0.267375094901,-0.00615572968146
520,0.104,-0.267373723941,-0.00615830209431
521,0.1042,-0.267372353174,-0.00616077223626
522,0.1044,-0.267370982669,-0.00616313993502
523,0.1046,-0.267369612355,-0.00616540530166
524,0.1048,-0.267368242317,-0.00616756809292
525,0.105,-0.267366872565,-0.00616962845615
526,0.1052,-0.267365503073,-0.00617158639707
527,0.1054,-0.267364133995,-0.00617344146679
528,0.1056,-0.267362765227,-0.00617519396211
529,0.1058,-0.267361396951,-0.00617684375523
530,0.106,-0.267360028925,-0.00617839046079
531,0.1062,-0.267358661346,-0.00617983435243
532,0.1064,-0.267357294318,-0.00618117502976
533,0.1066,-0.267355927833,-0.00618241290335
534,0.1068,-0.267354561705,-0.00618354787614
535,0.107,-0.267353196157,-0.00618457954081
536,0.1072,-0.267351831162,-0.00618550808668
537,0.1074,-0.267350466716,-0.00618633347645
538,0.1076,-0.267349102885,-0.00618705579453
539,0.1078,-0.267347739749,-0.00618767463775
540,0.108,-0.267346377384,-0.00618819031441
541,0.1082,-0.267345015671,-0.0061886026755
542,0.1084,-0.267343654668,-0.00618891193568
543,0.1086,-0.26734229436,-0.00618911789111
544,0.1088,-0.267340934968,-0.00618922044324
545,0.109,-0.267339576317,-0.00618921957004
546,0.1092,-0.267338218516,-0.00618911537564
547,0.1094,-0.267336861511,-0.00618890784395
548,0.1096,-0.267335505502,-0.0061885970969
549,0.1098,-0.267334150304,-0.00618818290067
550,0.11,-0.267332796002,-0.00618766525836
551,0.1102,-0.267331442756,-0.00618704447405
552,0.1104,-0.267330090434,-0.00618632052796
553,0.1106,-0.267328739218,-0.00618549315779
554,0.1108,-0.267327388971,-0.00618456273979
555,0.111,-0.267326039842,-0.00618352911724
556,0.1112,-0.267324691725,-0.00618239216803
557,0.1114,-0.267323344789,-0.00618115201251
558,0.1116,-0.267321998966,-0.00617980883469
559,0.1118,-0.267320654307,-0.00617836240577
560,0.112,-0.267319310977,-0.00617681311526
561,0.1122,-0.267317968792,-0.00617516085329
562,0.1124,-0.26731662778,-0.00617340561138
563,0.1126,-0.267315288013,-0.00617154743709
564,0.1128,-0.267313949662,-0.00616958647367
565,0.113,-0.26731261262,-0.0061675226371
566,0.1132,-0.267311276981,-0.00616535633485
567,0.1134,-0.26730994265,-0.00616308740216
568,0.1136,-0.267308609832,-0.0061607157264
569,0.1138,-0.267307278445,-0.00615824155923
570,0.114,-0.267305948385,-0.00615566514931
571,0.1142,-0.267304619856,-0.00615298618394
572,0.1144,-0.26730329281,-0.00615020518699
573,0.1146,-0.267301967338,-0.00614732202642
574,0.1148,-0.267300643379,-0.00614433659452
575,0.115,-0.267299320987,-0.00614124918175
576,0.1152,-0.267298000369,-0.00613805989929
577,0.1154,-0.267296681273,-0.00613476897087
578,0.1156,-0.267295363846,-0.00613137651474
